Концерн КРОСТ,developer,Москва,sale,flat,19,2,57.7,28388400.0,Щукино, Расплетина,2к1,Октябрьское поле,Театральный квартал
ESSE REAL ESTATE,real_estate_agent,Москва,sale,flat,9,2,37.0,13199000.0,Бабушкинский,Староватутинский проезд,3,Бабушкинская,
Концерн КРОСТ,developer,Москва,sale,flat,6,2,44.2,26078000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
hoomie,real_estate_agent,Москва,sale,flat,20,1,43.09,20252300.0,Даниловский,Автозаводская ,26,Тульская,FORST
РГ-Девелопмент,developer,Москва,sale,flat,9,2,54.3,11887465.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
Whitewill,real_estate_agent,Москва,sale,flat,5,2,106.0,155000000.0,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
Sminex,developer,Москва,sale,flat,14,2,90.0,83890000.0,Пресненский,Электрический переулок,1кАБ,Белорусская,Элитный квартал Тишинский бульвар
Ю-Питер,real_estate_agent,Москва,sale,flat,16,2,50.5,14000000.0,Отрадное, Бестужевых,13,Отрадное,
Донстрой,developer,Москва,sale,flat,19,2,55.8,31934340.0,Хорошево-Мневники,Жилой комплекс остров,4,Мнёвники,Остров
ID 112591621,homeowner,Москва,sale,flat,47,2,51.0,32950000.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
Галс-Девелопмент,developer,Москва,sale,flat,6,1,50.2,57228000.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
Павел Михайлов,realtor,Москва,sale,flat,16,1,44.0,26296000.0,Раменки,проспект Генерала Дорохова,39к2Л,Минская,Собрание клубных домов West Garden
MR Group,developer,Москва,sale,flat,57,2,40.53,26210751.0,Филевский парк,,,Фили,Фили Сити ЖК
Kalinka Group,real_estate_agent,Москва,sale,flat,65,2,51.1,50000000.0,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers
Среда,developer,Москва,sale,flat,44,1,31.61,14381127.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,17,1,35.1,16800000.0,Ярославский,Ярославское шоссе,51,ВДНХ,Я51
Главстрой,developer,Москва,sale,flat,35,1,39.22,18847239.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,58,2,60.2,21000000.0,Ростокино,проспект Мира,188Бк1,Ростокино,Триколор
MR Group,developer,Москва,sale,flat,46,1,34.8,16375836.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
Marry Lane Group,real_estate_agent,Москва,sale,flat,44,1,48.1,25000000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
РГ-Девелопмент,developer,Москва,sale,flat,27,2,49.5,21208325.0,Щукино,,,Щукинская,Октябрьское Поле ЖК
Владислав Карпов,realtor,Москва,sale,flat,28,1,40.0,30500000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
Стадион Спартак,developer,Москва,sale,flat,13,2,66.7,32609630.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
BARNES International Realty,real_estate_agent,Москва,sale,flat,12,1,55.0,32500000.0,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
MR Group,developer,Москва,sale,flat,59,2,34.6,13833080.0,Можайский,Верейская ,29С32А,Давыдково,SET
Villagio Realty,real_estate_agent,Москва,sale,flat,11,2,73.4,70000000.0,Тверской,Лесная ,4с1,Белорусская,
Мангазея,developer,Москва,sale,flat,21,2,74.2,36448375.0,Щукино,Щукинская ,,Щукинская,Интонация
Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,40,2,115.4,71000000.0,Обручевский,Профсоюзная ,64к2,Новые Черёмушки,Дирижабль
Галс-Девелопмент,developer,Москва,sale,flat,27,1,45.7,21798900.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
Romanov Estate,real_estate_agent,Москва,sale,flat,30,1,93.8,28999999.0,Щукино,проезд 4-й Красногорский,,Стрешнево,Moments
MR Group,developer,Москва,sale,flat,13,1,85.04,130383328.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
